Date,Time (UTC),rad(m),bat(V),ras(m),sw1(min),sw2(min)
2019-07-15,2019-07-15 11:59:30.000000000,-0.006814583333332902,,,,
2019-07-16,2019-07-16 11:59:30.000000000,-0.012121527777777348,,,,
2019-07-17,2019-07-17 12:00:08.571428608,0.006132884374311807,,,,
2019-07-18,2019-07-18 11:59:30.000000000,0.008759027777778199,,,,
2019-07-19,2019-07-19 11:59:30.000000000,0.01097708333333376,,,,
2019-07-20,2019-07-20 11:59:30.000000000,0.017066666666667098,,,,
2019-07-21,2019-07-21 11:59:30.000000000,0.009579861111111542,,,,
2019-07-22,2019-07-22 11:59:30.000000000,0.0029194444444448644,,,,
2019-07-23,2019-07-23 11:59:30.000000000,0.002220833333333769,,,,
2019-07-24,2019-07-24 11:59:30.000000000,-0.024440972222221795,,,,
2019-07-25,2019-07-25 11:59:30.000000000,0.0064506944444448775,,,,
2019-07-26,2019-07-26 11:59:30.000000000,-0.01806874999999958,,,,
2019-07-27,2019-07-27 11:59:30.000000000,-0.03596874999999958,,,,
2019-07-28,2019-07-28 11:59:30.000000000,-0.03947986111111069,,,,
2019-07-29,2019-07-29 11:59:30.000000000,-0.05469861111111069,,,,
2019-07-30,2019-07-30 11:59:30.000000000,-0.05643958333333292,,,,
2019-07-31,2019-07-31 11:59:30.000000000,-0.04500694444444402,,,,
2019-08-01,2019-08-01 11:59:30.000000000,0.047388194444444476,,,,
2019-08-02,2019-08-02 11:59:30.000000000,0.046279166666666705,,,,
2019-08-03,2019-08-03 11:59:30.000000000,0.06145208333333337,,,,
2019-08-04,2019-08-04 11:59:30.000000000,0.07450277777777782,,,,
2019-08-05,2019-08-05 11:59:30.000000000,0.10201111111111114,,,,
2019-08-06,2019-08-06 11:59:30.000000000,0.12862013888888893,,,,
2019-08-07,2019-08-07 11:59:30.000000000,0.12068819444444448,,,,
2019-08-08,2019-08-08 11:59:30.000000000,0.08344861111111115,,,,
2019-08-09,2019-08-09 11:59:30.000000000,0.04772291666666669,,,,
2019-08-10,2019-08-10 11:59:30.000000000,0.02093472222222226,,,,
2019-08-11,2019-08-11 11:59:30.000000000,0.00025694444444447075,,,,
2019-08-12,2019-08-12 11:59:30.000000000,0.0070722222222222575,,,,
2019-08-13,2019-08-13 11:59:30.000000000,0.004580555555555584,,,,
2019-08-14,2019-08-14 11:59:30.000000000,0.006309027777777815,,,,
2019-08-15,2019-08-15 11:59:30.000000000,0.0026062500000000447,,,,
2019-08-16,2019-08-16 11:59:30.000000000,0.003892361111111137,,,,
2019-08-17,2019-08-17 11:59:30.000000000,0.02875069444444448,,,,
2019-08-18,2019-08-18 11:59:30.000000000,0.03153611111111114,,,,
2019-08-19,2019-08-19 11:59:30.000000000,0.04222152777777781,,,,
2019-08-20,2019-08-20 11:59:30.000000000,0.059010416666666704,,,,
2019-08-21,2019-08-21 11:59:30.000000000,0.044668750000000035,,,,
2019-08-22,2019-08-22 11:59:30.000000000,0.017621527777777816,,,,
2019-08-23,2019-08-23 11:59:30.000000000,0.031106944444444482,,,,
2019-08-24,2019-08-24 11:59:30.000000000,0.015629166666666715,,,,
2019-08-25,2019-08-25 11:59:30.000000000,0.01374722222222226,,,,
2019-08-26,2019-08-26 11:59:30.000000000,0.0014298611111111378,,,,
2019-08-27,2019-08-27 11:59:30.000000000,-0.031034027777777747,,,,
2019-08-28,2019-08-28 11:59:30.000000000,-0.05128749999999996,,,,
2019-08-29,2019-08-29 11:59:30.000000000,-0.0287770833333333,,,,
2019-08-30,2019-08-30 11:59:30.000000000,-0.008689583333333292,,,,
2019-08-31,2019-08-31 11:59:30.000000000,-0.004175694444444413,,,,
2019-09-01,2019-09-01 11:59:30.000000000,0.028031944444444276,12.578333333333335,4.842883333333333,0.0,32.666666666666664
2019-09-02,2019-09-02 11:59:30.000000000,0.06856319444444427,12.602928870292887,4.883454166666667,0.0,32.42677824267783
